run,family,model_key,scenario,seed,h_l2_mean,h_l2_median,c_l2_mean,c_l2_median,front_error_mean_cm,bt_mae_hours,mbe_w_mean_final,mbe_w_median_final,mbe_c_mean_final
runs_multiseed/iid_medium_v1/seed_42,deeponet,m1,iid,42,0.3729410767555237,0.3555670380592346,0.19944778084754944,0.16522106528282166,12.385596803953307,9.775510204081632,33.30253967675492,22.12904294698744,76.16348193606191
runs_multiseed/iid_medium_v1/seed_42,deeponet,m2_data,iid,42,0.23879823088645935,0.23506249487400055,0.11108561605215073,0.07830546051263809,5.598663507724027,8.857142857142858,15.22611624296407,6.5165245034885295,79.21851891730283
runs_multiseed/iid_medium_v1/seed_42,deeponet,m2_score,iid,42,0.25797128677368164,0.25324195623397827,0.12286065518856049,0.0956972986459732,6.540993217926267,10.571428571428571,16.805809461970405,6.657277842033375,78.86543055599357
runs_multiseed/iid_medium_v1/seed_43,deeponet,m1,iid,43,0.3466423451900482,0.3296656608581543,0.1973310261964798,0.15803056955337524,10.246019276868529,9.816326530612244,25.043818006735137,11.029597049583007,75.16422032609378
runs_multiseed/iid_medium_v1/seed_43,deeponet,m2_data,iid,43,0.24511365592479706,0.23614239692687988,0.10806674510240555,0.07647450268268585,5.33986500841368,6.908163265306122,17.615472082470834,7.988085615944058,78.62982496871841
runs_multiseed/iid_medium_v1/seed_43,deeponet,m2_score,iid,43,0.24511365592479706,0.23614239692687988,0.10806674510240555,0.07647450268268585,5.33986500841368,6.908163265306122,17.615472082470834,7.988085615944058,78.62982496871841
runs_multiseed/iid_medium_v1/seed_44,deeponet,m1,iid,44,0.3224712014198303,0.31405970454216003,0.17684991657733917,0.13872030377388,8.262204010623595,12.5,22.32538307259634,10.648528263748872,79.65672757875684
runs_multiseed/iid_medium_v1/seed_44,deeponet,m2_data,iid,44,0.2447478473186493,0.24171753227710724,0.11226236820220947,0.08141355961561203,5.014573891832204,6.26530612244898,13.695772589206213,8.075938238018642,76.56123294541827
runs_multiseed/iid_medium_v1/seed_44,deeponet,m2_score,iid,44,0.2447478473186493,0.24171753227710724,0.11226236820220947,0.08141355961561203,5.014573891832204,6.26530612244898,13.695772589206213,8.075938238018642,76.56123294541827
runs_multiseed/ood_peak_medium_v1/seed_42,deeponet,m1,ood_peak,42,0.42979976534843445,0.40264129638671875,0.3004258871078491,0.2617286443710327,9.91848071792711,12.846153846153847,21.86344568222881,14.298572271686321,145.8755938995563
runs_multiseed/ood_peak_medium_v1/seed_42,deeponet,m2_data,ood_peak,42,0.2778770327568054,0.2550434470176697,0.12563639879226685,0.09593717008829117,5.525326569959449,6.323076923076923,9.775283852258005,3.7306027678772717,124.09590714647943
runs_multiseed/ood_peak_medium_v1/seed_42,deeponet,m2_score,ood_peak,42,0.28282660245895386,0.2628594934940338,0.129160538315773,0.11244258284568787,6.486236690601424,7.6461538461538465,12.418877541393412,6.84706135670114,126.70242385852953
runs_multiseed/ood_peak_medium_v1/seed_43,deeponet,m1,ood_peak,43,0.3569672107696533,0.3375985324382782,0.19929803907871246,0.17418435215950012,11.230669136181985,10.96923076923077,14.879368604937817,6.436943358762233,127.25735150049962
