set,source,model,n_test,h_rel_l2_mean,h_rel_l2_median,c_rel_l2_mean,c_rel_l2_median,mbe_w_mean_final,mbe_c_mean_final,front_error_mean_cm,bt_mae_hours,n_breakthrough,run_dir
E6_extreme_peak_v1,iid_baseline,m1,78,0.506171491397307,0.48049430512921354,0.39323179401318126,0.31280294370138306,26.446063995361328,172.13780212402344,20.642214515071657,13.626865671641792,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__iid_baseline
E6_extreme_peak_v1,iid_baseline,m2_data,78,0.41062702433262416,0.36137549080293463,0.32183315573301524,0.2527319893324899,17.251567840576172,188.28790283203125,13.430360933903975,14.656716417910447,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__iid_baseline
E6_extreme_peak_v1,iid_baseline,m2_score,78,0.45716804096632896,0.385006877979301,0.36520662457034914,0.293687057690732,19.53531265258789,187.48117065429688,16.08740274914068,15.716417910447761,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__iid_baseline
E6_extreme_peak_v1,iid_baseline,fnn,78,0.3351346522063673,0.2841424293182352,0.224638492461249,0.14269905217255624,15.733694076538086,204.36471557617188,10.034779021247353,4.119402985074627,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__iid_baseline
E6_extreme_peak_v1,iid_baseline,fno,78,0.6450566361875202,0.5758460908345358,0.7876548904885589,0.494872027655722,48.11758804321289,199.39561462402344,27.261537104315575,10.26865671641791,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__iid_baseline
E6_extreme_peak_v1,ood_peak_baseline,m1,78,0.33239357631975935,0.27930535939048584,0.23162502375641422,0.18067619115381606,16.904048919677734,205.2644805908203,10.673326630768125,10.119402985074627,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline
E6_extreme_peak_v1,ood_peak_baseline,m2_data,78,0.3362272879427971,0.27805987229494256,0.22127097585264358,0.16679944728524754,17.815704345703125,201.04049682617188,10.423618782416883,6.82089552238806,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline
E6_extreme_peak_v1,ood_peak_baseline,m2_score,78,0.3362272879427971,0.27805987229494256,0.22127097585264358,0.16679944728524754,17.815704345703125,201.04049682617188,10.423618782416883,6.82089552238806,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline
E6_extreme_peak_v1,ood_peaktime_baseline,m1,78,0.3206445018828479,0.2782568183810832,0.2458664076596871,0.21163703944041842,19.626461029052734,203.2056884765625,10.98884963190391,11.223880597014926,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline
E6_extreme_peak_v1,ood_peaktime_baseline,m2_data,78,0.3232535016959648,0.2699380203474945,0.24298626995445305,0.2029498733756842,19.198957443237305,199.3437957763672,10.946447976184876,11.283582089552239,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline
E6_extreme_peak_v1,ood_peaktime_baseline,m2_score,78,0.3232535016959648,0.2699380203474945,0.24298626995445305,0.2029498733756842,19.198957443237305,199.3437957763672,10.946447976184876,11.283582089552239,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline
E6_extreme_peak_v1,regshift_e0_iid_s42,m1,78,0.30894438046494305,0.26876502094737664,0.25503118702782845,0.19293226452313314,14.408087730407715,206.98818969726562,10.69482926132931,12.746268656716419,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_e0_iid_s42
E6_extreme_peak_v1,regshift_e0_iid_s42,m2_data,78,0.30879467065003513,0.26920513825892595,0.24036515172752446,0.208465432892799,12.861631393432617,201.7689666748047,10.06398097514449,8.56060606060606,66,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_e0_iid_s42
E6_extreme_peak_v1,regshift_e0_iid_s42,m2_score,78,0.30671937050814424,0.2877699355508144,0.22489692463336333,0.20404952938547305,14.07397174835205,204.2272186279297,9.556247217325966,7.6,65,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_e0_iid_s42
E6_extreme_peak_v1,regshift_e0_ood_peak_s42,m1,78,0.3000104002703078,0.2820005794761018,0.20799859245270091,0.1706413295897825,13.815627098083496,199.7259063720703,9.977962102160426,8.328358208955224,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_e0_ood_peak_s42
