scenario,selected_zero_based_index,centrality_score,regshift_three_seed_mean_c_rel_l2,regshift_within_scenario_percentile,shift_three_seed_mean_c_rel_l2,shift_within_scenario_percentile,fnn_three_seed_mean_c_rel_l2,fnn_within_scenario_percentile
iid,37,0.005480707908163271,0.06183417818990559,0.5223214285714286,0.05821112348944946,0.45982142857142855,0.085280018046336,0.4419642857142857
ood_peak,7,0.002133333333333331,0.07403433809642594,0.5266666666666666,0.06915153497162346,0.47333333333333333,0.10689237782444372,0.47333333333333333
ood_peak_time,23,0.00047610803324099805,0.06709853147379935,0.48026315789473684,0.07378457036661357,0.4934210526315789,0.10684959928767962,0.4934210526315789
