scenario,mode,eps_rel,h_rel_l2_mean,theta_rel_l2_mean,theta_gain,dstorage_rel_err_mean_pct,mbe_w_final_mean_pct,mbe_w_final_median_pct,mbe_minus_ref_mean_pct,amplification_mbe_per_h_l2
ood_peak,reference(HYDRUS),0.0,0.0,0.0,,0.0,2.2570,0.7885,0.0,
ood_peak,smooth,0.05,0.04733,0.00811,0.171,1.5203,3.0708,1.1565,0.8139,0.172
ood_peak,smooth,0.1,0.09134,0.01631,0.179,1.9916,3.3890,1.6915,1.1320,0.124
ood_peak,smooth,0.2,0.18536,0.03264,0.176,4.8994,5.0329,2.9800,2.7760,0.150
ood_peak,bias,0.05,0.05000,0.00807,0.161,2.6429,4.2230,2.4031,1.9660,0.393
ood_peak,bias,0.1,0.10000,0.01616,0.162,5.3292,6.2233,3.8644,3.9663,0.397
ood_peak,bias,0.2,0.20000,0.03283,0.164,10.6746,11.4785,6.8605,9.2215,0.461
