scenario,mode,eps_rel,h_rel_l2_mean,theta_rel_l2_mean,theta_gain,dstorage_rel_err_mean_pct,mbe_w_final_mean_pct,mbe_w_final_median_pct,mbe_minus_ref_mean_pct,amplification_mbe_per_h_l2
ood_peak_time,reference(HYDRUS),0.0,0.0,0.0,,0.0,0.9917,0.3816,0.0,
ood_peak_time,smooth,0.05,0.04662,0.00971,0.208,1.2198,1.5204,1.0843,0.5287,0.113
ood_peak_time,smooth,0.1,0.09346,0.01941,0.208,2.3202,2.4787,1.5641,1.4870,0.159
ood_peak_time,smooth,0.2,0.18528,0.03843,0.207,4.5703,4.3978,2.2708,3.4061,0.184
ood_peak_time,bias,0.05,0.05000,0.00961,0.192,2.4501,2.7596,1.9997,1.7679,0.354
ood_peak_time,bias,0.1,0.10000,0.01922,0.192,4.8720,5.1518,3.7596,4.1601,0.416
ood_peak_time,bias,0.2,0.20000,0.03883,0.194,9.5764,9.5705,5.6626,8.5788,0.429
