model,rank_by_c_rel_l2,h_rel_l2,c_rel_l2,h_r2,c_r2,h_max_abs,c_max_abs,front_error_mean_cm,bt_mae_hours,n_breakthrough
DeepONet,2,0.9224938213586812,2.3981239444765436,-2.2785139649545405,-6.272084511034864,235.6835479736328,1.7243058681488037,11.737557111767579,33.0,1
Shift-DeepONet,3,1.1233804055571979,2.912718815005564,-3.6115863583602748,-12.228086783933543,321.161865234375,2.060230016708374,14.089282697037948,0.0,1
"RegShift(修复代码重跑, 真有界)",1,0.6642290563537753,1.4829649340895918,-0.5669258809505435,-1.7747733472479106,153.96395874023438,0.6162521839141846,13.387833926814663,32.0,1
