processes,n_repeats,n_attempted_total,n_success_total,n_fail_total,wall_seconds_mean,wall_seconds_std,attempted_throughput_per_s_mean,attempted_throughput_per_s_std,successful_throughput_per_s_mean,successful_throughput_per_s_std,speedup_vs_1_process,parallel_efficiency
1,2,384,364,20,159.61560029070824,0.34402814356080597,1.2028927349474776,0.0025926598261890896,1.1402420716689632,0.0024576254602416497,1.0,1.0
2,2,384,364,20,80.73719318956137,0.22965441329545394,2.3780957592682066,0.006764418786183064,2.254236605139654,0.006412105307736102,1.9769807316793233,0.9884903658396617
4,2,384,364,20,46.020184334367514,0.010458063474224148,4.172082483691397,0.0009481036216001221,3.9547865209991366,0.000898723224642332,3.468374496312478,0.8670936240781195
8,2,384,364,20,43.36623661033809,0.43946326383895074,4.427634815965984,0.044868612067838994,4.197028835967756,0.042531705189305616,3.6808226430591167,0.4601028303823896
16,2,384,364,20,41.51482588239014,0.6480953691036673,4.625417421957902,0.07220821833228282,4.384510264564261,0.06844737362747655,3.8452451225086697,0.24032782015679185
