run_key,scenario,family,axis,bin,n_samples
regshift_ood_peak_s456,ood_peak,regshift_bounded,q_top_peak,p90_p95,36
regshift_ood_peak_s456,ood_peak,regshift_bounded,q_top_peak,p95_p98,25
regshift_ood_peak_s456,ood_peak,regshift_bounded,q_top_peak,p98_p100,14
regshift_ood_peak_s456,ood_peak,regshift_bounded,q_top_peak_time,p00_p90,53
regshift_ood_peak_s456,ood_peak,regshift_bounded,q_top_peak_time,p90_p95,0
regshift_ood_peak_s456,ood_peak,regshift_bounded,q_top_peak_time,p95_p98,0
regshift_ood_peak_s456,ood_peak,regshift_bounded,q_top_peak_time,p98_p100,22
regshift_ood_time_s42,ood_peak_time,regshift_bounded,q_top_peak,p00_p90,68
regshift_ood_time_s42,ood_peak_time,regshift_bounded,q_top_peak,p90_p95,2
regshift_ood_time_s42,ood_peak_time,regshift_bounded,q_top_peak,p95_p98,4
regshift_ood_time_s42,ood_peak_time,regshift_bounded,q_top_peak,p98_p100,2
regshift_ood_time_s42,ood_peak_time,regshift_bounded,q_top_peak_time,p00_p90,0
regshift_ood_time_s42,ood_peak_time,regshift_bounded,q_top_peak_time,p90_p95,0
regshift_ood_time_s42,ood_peak_time,regshift_bounded,q_top_peak_time,p95_p98,0
regshift_ood_time_s42,ood_peak_time,regshift_bounded,q_top_peak_time,p98_p100,76
regshift_ood_time_s123,ood_peak_time,regshift_bounded,q_top_peak,p00_p90,68
regshift_ood_time_s123,ood_peak_time,regshift_bounded,q_top_peak,p90_p95,2
regshift_ood_time_s123,ood_peak_time,regshift_bounded,q_top_peak,p95_p98,4
regshift_ood_time_s123,ood_peak_time,regshift_bounded,q_top_peak,p98_p100,2
regshift_ood_time_s123,ood_peak_time,regshift_bounded,q_top_peak_time,p00_p90,0
regshift_ood_time_s123,ood_peak_time,regshift_bounded,q_top_peak_time,p90_p95,0
regshift_ood_time_s123,ood_peak_time,regshift_bounded,q_top_peak_time,p95_p98,0
regshift_ood_time_s123,ood_peak_time,regshift_bounded,q_top_peak_time,p98_p100,76
regshift_ood_time_s456,ood_peak_time,regshift_bounded,q_top_peak,p00_p90,68
regshift_ood_time_s456,ood_peak_time,regshift_bounded,q_top_peak,p90_p95,2
regshift_ood_time_s456,ood_peak_time,regshift_bounded,q_top_peak,p95_p98,4
regshift_ood_time_s456,ood_peak_time,regshift_bounded,q_top_peak,p98_p100,2
regshift_ood_time_s456,ood_peak_time,regshift_bounded,q_top_peak_time,p00_p90,0
regshift_ood_time_s456,ood_peak_time,regshift_bounded,q_top_peak_time,p90_p95,0
regshift_ood_time_s456,ood_peak_time,regshift_bounded,q_top_peak_time,p95_p98,0
regshift_ood_time_s456,ood_peak_time,regshift_bounded,q_top_peak_time,p98_p100,76
