scenario,family,model,axis,n_bins,slope_rel_l2_c_per_rank,spearman_rank_corr,strictly_nondecreasing,rel_l2_c_by_rank
iid,shift_unbounded_historical,m1,q_top_peak,3,0.06084727030399494,0.5,False,4:0.2033;5:0.1692;6:0.3250
iid,shift_unbounded_historical,m1,q_top_peak_time,4,-0.004303715695807724,-0.39999999999999997,False,4:0.1616;5:0.1494;6:0.1308;7:0.1534
iid,shift_unbounded_historical,m2_data,joint_forcing_x_Ks,2,-0.22985069171842132,-0.9999999999999999,False,1:0.3581;2:0.1283
iid,shift_unbounded_historical,m2_data,q_top_peak,3,0.06701869257097673,0.5,False,4:0.1936;5:0.1678;6:0.3276
iid,shift_unbounded_historical,m2_data,q_top_peak_time,4,-0.007062139988035028,-0.7999999999999999,False,4:0.1553;5:0.1397;6:0.1208;7:0.1380
iid,shift_unbounded_historical,m2_score,joint_forcing_x_Ks,2,-0.22899016345416898,-0.9999999999999999,False,1:0.3571;2:0.1281
iid,shift_unbounded_historical,m2_score,q_top_peak,3,0.06501643546501788,0.5,False,4:0.1943;5:0.1703;6:0.3243
iid,shift_unbounded_historical,m2_score,q_top_peak_time,4,-2.8544443871442172e-05,0.19999999999999998,False,4:0.1653;5:0.1414;6:0.1372;7:0.1666
ood_peak,deeponet_baseline,m1,joint_forcing_x_Ks,2,-0.9511469295169523,-0.9999999999999999,False,1:1.0763;2:0.1251
ood_peak,deeponet_baseline,m1,q_top_peak,6,0.03140064176485259,0.8857142857142858,False,1:0.1160;2:0.1535;3:0.1361;4:0.2174;5:0.1959;6:0.2941
ood_peak,deeponet_baseline,m1,q_top_peak_time,6,0.01583065238651633,0.8285714285714287,False,0:0.1229;3:0.1548;4:0.1975;5:0.2416;6:0.2150;7:0.2183
ood_peak,deeponet_baseline,m2_data,joint_forcing_x_Ks,2,-0.8126875158197514,-0.9999999999999999,False,1:0.9262;2:0.1135
ood_peak,deeponet_baseline,m2_data,q_top_peak,6,0.032552495579508456,0.8857142857142858,False,1:0.1022;2:0.1446;3:0.1059;4:0.2158;5:0.1677;6:0.2943
ood_peak,deeponet_baseline,m2_data,q_top_peak_time,6,0.010320862724153957,0.5428571428571429,False,0:0.1068;3:0.1416;4:0.1876;5:0.2269;6:0.1515;7:0.1740
ood_peak,deeponet_baseline,m2_score,joint_forcing_x_Ks,2,-0.8126875158197514,-0.9999999999999999,False,1:0.9262;2:0.1135
ood_peak,deeponet_baseline,m2_score,q_top_peak,6,0.032552495579508456,0.8857142857142858,False,1:0.1022;2:0.1446;3:0.1059;4:0.2158;5:0.1677;6:0.2943
ood_peak,deeponet_baseline,m2_score,q_top_peak_time,6,0.010320862724153957,0.5428571428571429,False,0:0.1068;3:0.1416;4:0.1876;5:0.2269;6:0.1515;7:0.1740
