run_key,scenario,family,model,axis,bin,n,rel_l2_h_mean,rel_l2_h_median,rel_l2_c_mean,rel_l2_c_median,bt_mae_hours,n_bt
iid_baseline,iid,deeponet_baseline,m1,q_top_peak,p00_p90,96,0.3669963063003972,0.3476866347107915,0.19931501547612754,0.155420840288006,9.761904761904763,84
iid_baseline,iid,deeponet_baseline,m1,q_top_peak,p90_p95,9,0.4432995990001136,0.41083403577654276,0.1919863421990949,0.18208763179827717,5.125,8
iid_baseline,iid,deeponet_baseline,m1,q_top_peak,p95_p98,4,0.29950822774899166,0.3223017366827478,0.23114240938251135,0.24149298258419918,18.0,3
iid_baseline,iid,deeponet_baseline,m1,q_top_peak,p98_p100,3,0.450008962002542,0.5050878610339717,0.18382057356215112,0.19651465267014023,14.333333333333334,3
iid_baseline,iid,deeponet_baseline,m1,q_top_peak_time,p00_p90,83,0.37382927678542094,0.34908018774001887,0.20171596487539745,0.1688906231248437,9.32394366197183,71
iid_baseline,iid,deeponet_baseline,m1,q_top_peak_time,p98_p100,29,0.37039902136733827,0.36143334761283324,0.19295602893305547,0.16431051412142197,10.962962962962964,27
iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,p00_p90,96,0.23620068242146441,0.2339838481555206,0.11040021558590836,0.07443553807145661,8.416666666666666,84
iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,p90_p95,9,0.24820132833274228,0.26240646557962105,0.10094544648171763,0.09219186584765497,7.75,8
iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,p95_p98,4,0.24215908760558583,0.23587283671049902,0.14880489783070594,0.16771381547457842,18.0,3
iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,p98_p100,3,0.28923013785002877,0.2930895895983413,0.11314491926641827,0.09825856016812362,15.0,3
iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak_time,p00_p90,83,0.24249075182146324,0.249266982692131,0.1119901712648926,0.07739862179209758,8.492957746478874,71
iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak_time,p98_p100,29,0.22823006311193939,0.2223247252031233,0.10849654650753986,0.07921242178713676,9.814814814814815,27
iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak,p00_p90,96,0.25408467416657365,0.2501730944130258,0.12181895405596334,0.08902612824930002,10.488095238095237,84
iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak,p90_p95,9,0.28175060793347734,0.27573315122570335,0.11751562537722943,0.12260727380616024,6.625,8
iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak,p95_p98,4,0.25843418553618325,0.2720263982918216,0.16054572054967547,0.19365498147830423,18.333333333333332,3
iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak,p98_p100,3,0.310386093088259,0.3574444217816669,0.12198313427070955,0.12578596807237985,15.666666666666666,3
iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak_time,p00_p90,83,0.2622687356597961,0.25963180726216323,0.12374418521753208,0.09887316125663224,9.394366197183098,71
iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak_time,p98_p100,29,0.24567152251857952,0.24306784999306025,0.12033190102493843,0.091569822587441,13.666666666666666,27
iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,p00_p90,96,0.24861825676155633,0.20712853964440173,0.14590178791135813,0.09467911890947864,2.380952380952381,84
iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,p90_p95,9,0.2201292900265842,0.18633338734297686,0.11448117159826879,0.07087238490525298,2.875,8
iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,p95_p98,4,0.23642251381167625,0.20764375380818784,0.15437055603024158,0.1534881094766975,5.333333333333333,3
iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,p98_p100,3,0.3285673018608833,0.3824250512237167,0.15036068369860542,0.17368713062000088,6.333333333333333,3
iid_baseline,iid,deeponet_baseline,fnn,q_top_peak_time,p00_p90,83,0.2503340646427805,0.22459991930006626,0.15117115272460308,0.09534395048349245,2.0422535211267605,71
iid_baseline,iid,deeponet_baseline,fnn,q_top_peak_time,p98_p100,29,0.24145451223542186,0.20020394206576406,0.12269864768791476,0.08935996681827069,4.185185185185185,27
iid_baseline,iid,deeponet_baseline,fno,q_top_peak,p00_p90,96,0.6109107946018751,0.5875744284886171,0.6602468444468642,0.4578974122271168,7.642857142857143,84
iid_baseline,iid,deeponet_baseline,fno,q_top_peak,p90_p95,9,0.7849125877331853,0.7698685892549466,0.5629830112195566,0.4915728011718236,4.5,8
iid_baseline,iid,deeponet_baseline,fno,q_top_peak,p95_p98,4,0.5522678124370224,0.577932189962029,0.7572442725414621,0.6664039937425772,13.333333333333334,3
iid_baseline,iid,deeponet_baseline,fno,q_top_peak,p98_p100,3,0.6637483095430353,0.7356604514532317,0.6449314217952986,0.5533527864346477,9.0,3
iid_baseline,iid,deeponet_baseline,fno,q_top_peak_time,p00_p90,83,0.6203974714251301,0.5945765887705633,0.6586035629439998,0.46885440200721296,7.169014084507042,71
iid_baseline,iid,deeponet_baseline,fno,q_top_peak_time,p98_p100,29,0.6351370903955198,0.5956620640783078,0.6465593034163691,0.502810244618533,8.74074074074074,27
ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak,p90_p95,36,0.22807617772302619,0.2193058873097366,0.1160453425905355,0.07163651478723418,5.0,32
ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak,p95_p98,25,0.2876709793209325,0.2648680953525245,0.15351389558416778,0.1350024016913264,8.857142857142858,21
ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak,p98_p100,14,0.2744894760451009,0.24958782986796602,0.13608604074125158,0.09087719997934024,6.833333333333333,12
ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak_time,p00_p90,53,0.25359983296337407,0.22865237410328215,0.12292671713718784,0.09649409873359942,6.595744680851064,47
ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak_time,p98_p100,22,0.26384447266476546,0.25124637175629405,0.154798558407729,0.09074260569246037,6.555555555555555,18
ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak,p90_p95,36,0.22269344935343355,0.21417177943100654,0.1021909128631892,0.06538618273263791,3.3125,32
ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak,p95_p98,25,0.28391511169806555,0.2695738414126223,0.14464954990913814,0.13201521615207934,6.857142857142857,21
ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak,p98_p100,14,0.2615558804409165,0.23737783290777717,0.10592403627292904,0.06641663340400433,4.083333333333333,12
ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak_time,p00_p90,53,0.24931738684604723,0.23183176069281636,0.10683036950607525,0.06673545263191819,4.617021276595745,47
ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak_time,p98_p100,22,0.252854672386708,0.23057723579930214,0.14163811521828554,0.0757050015958051,4.555555555555555,18
