part,run_key,scenario,family,model,axis,severity_bin,severity_rank,n,rel_l2_h_mean,rel_l2_h_median,rel_l2_c_mean,rel_l2_c_median,bt_mae_hours
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_ood_peak_time_s42,ood_peak_time,regshift_bounded,m1,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.349362791254187,0.37982829074251595,0.6489366744321237,0.642616131958748,
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_ood_peak_time_s42,ood_peak_time,regshift_bounded,m1,joint_forcing_x_Ks,joint_Ks40,2,15,0.2356428857894697,0.21286106202998972,0.10741674070077149,0.08638777603969364,1.8
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_iid_s42,iid,regshift_bounded,m2_data,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.5000464295046722,0.5053540414512709,0.8270247647896252,0.8226950929149446,
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_iid_s42,iid,regshift_bounded,m2_data,joint_forcing_x_Ks,joint_Ks40,2,15,0.2305546368244377,0.21275052431283925,0.12797074812608814,0.06980122193663786,2.6
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_ood_peak_s42,ood_peak,regshift_bounded,m2_data,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.4557570375678768,0.46102318292921773,0.8210714656491271,0.8836449324370285,
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_ood_peak_s42,ood_peak,regshift_bounded,m2_data,joint_forcing_x_Ks,joint_Ks40,2,15,0.23900906288110385,0.20766961150243413,0.10997000536424227,0.0889138980238888,3.2666666666666666
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_ood_peak_time_s42,ood_peak_time,regshift_bounded,m2_data,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.34112216950197327,0.37226647325620654,0.641605397012045,0.6392739069638332,
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_ood_peak_time_s42,ood_peak_time,regshift_bounded,m2_data,joint_forcing_x_Ks,joint_Ks40,2,15,0.23837658081207438,0.22640144553391078,0.09861093970892867,0.08250496111797007,1.9333333333333333
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_ood_peak_time_s42,ood_peak_time,regshift_bounded,m2_phase2_score,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.342369442423006,0.3720337408572415,0.7316331450811417,0.7825491332297801,
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_ood_peak_time_s42,ood_peak_time,regshift_bounded,m2_phase2_score,joint_forcing_x_Ks,joint_Ks40,2,15,0.24178845820682565,0.22822981754666488,0.10340428656573186,0.07655786223395727,1.7333333333333334
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_iid_s42,iid,regshift_bounded,m2_score,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.4735694451123179,0.4847775499529539,0.8942444761775575,0.848183512470169,
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_iid_s42,iid,regshift_bounded,m2_score,joint_forcing_x_Ks,joint_Ks40,2,15,0.21914609337118993,0.18236664770830138,0.12648033203615988,0.06365651105110923,1.8666666666666667
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_ood_peak_s42,ood_peak,regshift_bounded,m2_score,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.4557570375678768,0.46102318292921773,0.8210714656491271,0.8836449324370285,
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_ood_peak_s42,ood_peak,regshift_bounded,m2_score,joint_forcing_x_Ks,joint_Ks40,2,15,0.23900906288110385,0.20766961150243413,0.10997000536424227,0.0889138980238888,3.2666666666666666
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_ood_peak_time_s42,ood_peak_time,regshift_bounded,m2_score,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.342369442423006,0.3720337408572415,0.7316331450811417,0.7825491332297801,
B,e6e8_eval__E8_joint_shift_v1__regshift_e0_ood_peak_time_s42,ood_peak_time,regshift_bounded,m2_score,joint_forcing_x_Ks,joint_Ks40,2,15,0.24178845820682565,0.22822981754666488,0.10340428656573186,0.07655786223395727,1.7333333333333334
B,e6e8_eval__E8_joint_shift_v1__shift_iid,iid,shift_unbounded,m1,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.4331108830561096,0.3994251582725358,0.8743702920054675,0.7591646163118467,
B,e6e8_eval__E8_joint_shift_v1__shift_iid,iid,shift_unbounded,m1,joint_forcing_x_Ks,joint_Ks40,2,15,0.4135904373288807,0.4311818825928798,0.21826216134409437,0.1787682692128282,7.866666666666666
B,e6e8_eval__E8_joint_shift_v1__shift_ood_peak,ood_peak,shift_unbounded,m1,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.47693031719311574,0.5151069925906667,1.049484983950212,0.9000909021044571,
B,e6e8_eval__E8_joint_shift_v1__shift_ood_peak,ood_peak,shift_unbounded,m1,joint_forcing_x_Ks,joint_Ks40,2,15,0.3317172160566431,0.31639074393034405,0.18176101973858774,0.13280349741664943,6.4
B,e6e8_eval__E8_joint_shift_v1__shift_iid,iid,shift_unbounded,m2_data,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.5313895395395819,0.5310852635846544,0.8828631058969597,0.8468748633353536,
B,e6e8_eval__E8_joint_shift_v1__shift_iid,iid,shift_unbounded,m2_data,joint_forcing_x_Ks,joint_Ks40,2,15,0.27430046689929816,0.26748433945799316,0.15795504926344278,0.11167598047263154,4.733333333333333
B,e6e8_eval__E8_joint_shift_v1__shift_ood_peak,ood_peak,shift_unbounded,m2_data,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.3673739783301936,0.36494120230672433,0.7436787394029014,0.6705394869270053,
B,e6e8_eval__E8_joint_shift_v1__shift_ood_peak,ood_peak,shift_unbounded,m2_data,joint_forcing_x_Ks,joint_Ks40,2,15,0.24753502542313754,0.2445787018430205,0.13329883877456986,0.08979711291249745,2.3333333333333335
B,e6e8_eval__E8_joint_shift_v1__shift_iid,iid,shift_unbounded,m2_score,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.47804991754470383,0.4521357899512506,0.8406680041017502,0.9142263487351249,
B,e6e8_eval__E8_joint_shift_v1__shift_iid,iid,shift_unbounded,m2_score,joint_forcing_x_Ks,joint_Ks40,2,15,0.2768546547725869,0.24400323617697525,0.15979177687513177,0.14228378049165458,3.466666666666667
B,e6e8_eval__E8_joint_shift_v1__shift_ood_peak,ood_peak,shift_unbounded,m2_score,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.364332732533936,0.3554905573190961,0.7496048730654853,0.6579811462881855,
B,e6e8_eval__E8_joint_shift_v1__shift_ood_peak,ood_peak,shift_unbounded,m2_score,joint_forcing_x_Ks,joint_Ks40,2,15,0.23706727660221788,0.21229489451225184,0.11804472940735633,0.08002662262969354,2.466666666666667
B,e6e8_eval__E8_joint_shift_v1__regshift_iid_s42,iid,shift_unbounded_historical,m1,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.3155266736268006,0.3285663425449414,0.3638890554105616,0.40342535099088844,
B,e6e8_eval__E8_joint_shift_v1__regshift_iid_s42,iid,shift_unbounded_historical,m1,joint_forcing_x_Ks,joint_Ks40,2,15,0.2748936907270309,0.2495275294551869,0.13786290267343082,0.10199796620055605,2.6
B,e6e8_eval__E8_joint_shift_v1__regshift_ood_peak_s42,ood_peak,shift_unbounded_historical,m1,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.4157684120275926,0.37155775867733554,0.6324971383149874,0.5318740889616503,
B,e6e8_eval__E8_joint_shift_v1__regshift_ood_peak_s42,ood_peak,shift_unbounded_historical,m1,joint_forcing_x_Ks,joint_Ks40,2,15,0.22196373140601747,0.2186274007409906,0.09421486083933193,0.06088400819416542,4.0
B,e6e8_eval__E8_joint_shift_v1__regshift_ood_time_s42,ood_peak_time,shift_unbounded_historical,m1,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.3888574831798499,0.3588970173526001,0.6250808077380141,0.6322177501285219,
B,e6e8_eval__E8_joint_shift_v1__regshift_ood_time_s42,ood_peak_time,shift_unbounded_historical,m1,joint_forcing_x_Ks,joint_Ks40,2,15,0.2618177568433076,0.2329057554300131,0.16601753137982786,0.10105624348612652,3.0
B,e6e8_eval__E8_joint_shift_v1__regshift_iid_s42,iid,shift_unbounded_historical,m2_data,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.3245441662727151,0.3308424600204341,0.35813407665825997,0.3650435083625606,
B,e6e8_eval__E8_joint_shift_v1__regshift_iid_s42,iid,shift_unbounded_historical,m2_data,joint_forcing_x_Ks,joint_Ks40,2,15,0.2607168336166806,0.24902715026421232,0.12828338493983854,0.0988817757442468,1.9333333333333333
B,e6e8_eval__E8_joint_shift_v1__regshift_ood_peak_s42,ood_peak,shift_unbounded_historical,m2_data,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.4167067637896318,0.3733936358974568,0.6623579727369211,0.5648497011055412,
B,e6e8_eval__E8_joint_shift_v1__regshift_ood_peak_s42,ood_peak,shift_unbounded_historical,m2_data,joint_forcing_x_Ks,joint_Ks40,2,15,0.22231884907729113,0.2211241863703474,0.09384900854211188,0.05958322961995643,2.7333333333333334
B,e6e8_eval__E8_joint_shift_v1__regshift_ood_time_s42,ood_peak_time,shift_unbounded_historical,m2_data,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.38135078419745466,0.319450210073423,0.5296863746430043,0.3891101872738207,
