run_key,scenario,family,model,axis,bin,n,rel_l2_h_mean,rel_l2_h_median,rel_l2_c_mean,rel_l2_c_median,bt_mae_hours,n_bt
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak_time,peaktime_46h,7,0.2857226085470013,0.281291818384741,0.19181556670601094,0.17640180706088807,12.428571428571429,7
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak_time,peaktime_47h,7,0.33158546698847047,0.25333965171717865,0.2780041349891576,0.1951886173711779,14.166666666666666,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak_time,peaktime_44h,7,0.8064859971367083,0.4381272865908023,0.40563768003267375,0.27038366529420443,22.5,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak_time,peaktime_45h,8,0.49000701906206606,0.3746686492112774,0.40710643121877016,0.4086795417459069,14.0,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak_time,peaktime_46h,7,0.31423838007490473,0.2748067252245723,0.20784776261059618,0.1729711659130537,14.714285714285714,7
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak_time,peaktime_47h,7,0.360178637048045,0.3021019021584161,0.3311462761625325,0.19295452040769864,13.0,6
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,fnn,joint_forcing_x_Ks,joint_Ks0.15,9,0.5110515870272481,0.49920460857009324,0.9916223916201533,0.9617381492359779,,0
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,fnn,joint_forcing_x_Ks,joint_Ks40,15,0.2202628432450889,0.1621224946389469,0.0933686549235821,0.0644591811006266,1.2666666666666666,15
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,fno,joint_forcing_x_Ks,joint_Ks0.15,9,0.5646747915536503,0.6148830089908274,3.0109944744679287,1.7279118409281498,,0
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,fno,joint_forcing_x_Ks,joint_Ks40,15,0.5499345005675871,0.5078349132473444,0.543542560195174,0.39766377128985525,3.7333333333333334,15
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks0.15,9,0.44659873084855367,0.4420823963487572,1.116801662227467,1.0379133589189942,,0
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks40,15,0.388462625534094,0.35125456091947205,0.24754904233895692,0.22138724165462412,5.466666666666667,15
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks0.15,9,0.40193917076986074,0.3846849645342428,1.0190565781664342,0.9406781613993619,,0
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks40,15,0.27149766691805827,0.23934791037177802,0.12417690175769011,0.11129760609190247,4.8,15
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m2_score,joint_forcing_x_Ks,joint_Ks0.15,9,0.4057271085288947,0.3870492762948571,0.9126596854073722,0.6901127130671724,,0
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m2_score,joint_forcing_x_Ks,joint_Ks40,15,0.3001120924589632,0.25811416219930344,0.15474667338324502,0.13245260722050697,6.666666666666667,15
e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak,peak_5.5,29,0.33786953200074,0.27763140587415885,0.21743172625375368,0.19755052443122972,8.16,25
e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak,peak_6.5,27,0.29850355909140475,0.2615749957239675,0.19594731685649888,0.13020587701334596,7.958333333333333,24
e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak,peak_8.0,22,0.36676755707592146,0.3180254242134589,0.2941206450786045,0.1939320268890774,15.722222222222221,18
e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak,peak_5.5,29,0.34304996059963555,0.2691540963922837,0.21579530693910903,0.192366424577354,4.08,25
e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak,peak_6.5,27,0.29728362263176966,0.2743096937899449,0.1676701058920604,0.11926847378349471,7.458333333333333,24
e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak,peak_8.0,22,0.3750282631354214,0.31376444443940305,0.29427179419675903,0.19315697455241498,9.777777777777779,18
e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_score,q_top_peak,peak_5.5,29,0.34304996059963555,0.2691540963922837,0.21579530693910903,0.192366424577354,4.08,25
e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_score,q_top_peak,peak_6.5,27,0.29728362263176966,0.2743096937899449,0.1676701058920604,0.11926847378349471,7.458333333333333,24
e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_score,q_top_peak,peak_8.0,22,0.3750282631354214,0.31376444443940305,0.29427179419675903,0.19315697455241498,9.777777777777779,18
e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak_time,peaktime_44h,7,0.33800190844651906,0.21476531374092783,0.1975186720461177,0.14809722729723798,13.5,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak_time,peaktime_45h,8,0.35529921641525264,0.3440918283345804,0.24157117216195126,0.14554468446400137,12.0,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak_time,peaktime_46h,7,0.19770534492457767,0.19377597832594318,0.21496120893213203,0.15279648725217887,12.428571428571429,7
e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak_time,peaktime_47h,7,0.2563456409841277,0.19308545045462897,0.21826576716307208,0.1376499069857146,11.833333333333334,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak_time,peaktime_44h,7,0.3206555690371628,0.2068856526642503,0.18755973884876082,0.15268479614997563,12.6,5
e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak_time,peaktime_45h,8,0.3296713770741665,0.28379633908996194,0.2268925293701351,0.14292365979315333,10.833333333333334,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak_time,peaktime_46h,7,0.18886645297111063,0.16901573437009373,0.1514631558064309,0.1175592101684516,4.285714285714286,7
e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak_time,peaktime_47h,7,0.23863367134539099,0.21267792069520083,0.17403458978092387,0.10991952458202273,5.666666666666667,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_score,q_top_peak_time,peaktime_44h,7,0.3206555690371628,0.2068856526642503,0.18755973884876082,0.15268479614997563,12.6,5
e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_score,q_top_peak_time,peaktime_45h,8,0.3296713770741665,0.28379633908996194,0.2268925293701351,0.14292365979315333,10.833333333333334,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_score,q_top_peak_time,peaktime_46h,7,0.18886645297111063,0.16901573437009373,0.1514631558064309,0.1175592101684516,4.285714285714286,7
e6e8_eval__E6_extreme_peaktime_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_score,q_top_peak_time,peaktime_47h,7,0.23863367134539099,0.21267792069520083,0.17403458978092387,0.10991952458202273,5.666666666666667,6
e6e8_eval__E8_joint_shift_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks0.15,9,0.5020792990390688,0.5174221286000176,1.076287892657424,0.8981163924099994,,0
e6e8_eval__E8_joint_shift_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks40,15,0.24680172305099116,0.2169280858847165,0.12514096314047143,0.1021416355770422,2.8,15
e6e8_eval__E8_joint_shift_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks0.15,9,0.5305628644806505,0.5248417486425466,0.9261616316979945,0.9131308427948499,,0
e6e8_eval__E8_joint_shift_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks40,15,0.23192995399050134,0.1750212602606754,0.11347411587824265,0.07916812301815951,2.2666666666666666,15
e6e8_eval__E8_joint_shift_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_score,joint_forcing_x_Ks,joint_Ks0.15,9,0.5305628644806505,0.5248417486425466,0.9261616316979945,0.9131308427948499,,0
e6e8_eval__E8_joint_shift_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_score,joint_forcing_x_Ks,joint_Ks40,15,0.23192995399050134,0.1750212602606754,0.11347411587824265,0.07916812301815951,2.2666666666666666,15
e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak,peak_5.5,29,0.34547387228950155,0.2880056066242559,0.21482398861785507,0.201507913730387,9.64,25
e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak,peak_6.5,27,0.2933209628116523,0.2512575078752792,0.22833879659878556,0.22892784544335967,11.0,24
e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak,peak_8.0,22,0.32144832145313285,0.2885031543954275,0.3082971155218932,0.20439713868466805,13.722222222222221,18
e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,q_top_peak,peak_5.5,29,0.3449417071794566,0.31758626626344205,0.21205776348078242,0.1923251788485913,9.92,25
e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,q_top_peak,peak_6.5,27,0.2860822671153864,0.26214702201196116,0.2226217329405772,0.22438002085000766,10.708333333333334,24
e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,q_top_peak,peak_8.0,22,0.34028374568750624,0.2974517913598712,0.30874850308963353,0.18250780501252073,13.944444444444445,18
e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_score,q_top_peak,peak_5.5,29,0.3449417071794566,0.31758626626344205,0.21205776348078242,0.1923251788485913,9.92,25
e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_score,q_top_peak,peak_6.5,27,0.2860822671153864,0.26214702201196116,0.2226217329405772,0.22438002085000766,10.708333333333334,24
e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_score,q_top_peak,peak_8.0,22,0.34028374568750624,0.2974517913598712,0.30874850308963353,0.18250780501252073,13.944444444444445,18
e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak_time,peaktime_44h,7,0.31470164966267417,0.2602091059054592,0.18697509055127015,0.17044702340086954,16.166666666666668,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak_time,peaktime_45h,8,0.25612840673510867,0.24019627372797148,0.24365533143612106,0.2158073405135117,15.0,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak_time,peaktime_46h,7,0.2565731172373917,0.23530716325337886,0.19473744277811803,0.20482283901051718,14.0,7
e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak_time,peaktime_47h,7,0.30992627003009815,0.31385904646649343,0.20706768924614605,0.16613833931175923,12.666666666666666,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,q_top_peak_time,peaktime_44h,7,0.3099887389909514,0.2812788801981289,0.17050479711144678,0.15242207026657967,12.0,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,q_top_peak_time,peaktime_45h,8,0.2311765833134922,0.20050678864723545,0.22510692034170537,0.19856818269631055,13.666666666666666,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,q_top_peak_time,peaktime_46h,7,0.24368758581575717,0.25018253100977383,0.16232423844082983,0.1796287751349797,12.857142857142858,7
